Country;Capital City;Latitude;Longitude;Population (thousands)
Nauru;Nauru;-0.530801;166.911192;10.081
Nepal;Kathmandu;27.70169;85.3206;1141.733
Netherlands;Amsterdam;52.37403;4.88969;1083.573
Netherlands;s-Gravenhage (The Hague);52.0767;4.2986;646.411
New Caledonia;Noumea;-22.27631;166.4572;181.002
New Zealand;Wellington;-41.28664;174.77557;380.333
Nicaragua;Managua;12.13282;-86.2504;950.736
Niger;Niamey;13.51366;2.1098;1057.564
Nigeria;Abuja;9.05735;7.48976;2300.547
Niue;Alofi;-19.058498;-169.921281;0.546
Northern Mariana Islands;Saipan;15.21233;145.7545;48.681
Norway;Oslo;59.91273;10.74609;969.862
Oman;Masqat (Muscat);23.61387;58.5922;812.324
Pakistan;Islamabad;33.70351;73.059373;1296.964
Palau;Koror;7.34257;134.47888;11.599
Panama;Ciudad de Panama (Panama City);8.995816;-79.519572;1637.866
Papua New Guinea;Port Moresby;-9.44314;147.17972;338.069
Paraguay;Asuncion;-25.30066;-57.63591;2307.329
Peru;Lima;-12.04318;-77.02824;9722.071
Philippines;Manila;14.6042;120.9822;12763.753
Poland;Warszawa (Warsaw);52.22977;21.01178;1718.208
Portugal;Lisboa (Lisbon);38.71686;-9.139867;2868.856
Puerto Rico;San Juan;18.46633;-66.10572;2466.219
Qatar;Ad-Dawhah (Doha);25.274724;51.524472;698.535
Republic of Korea;Seoul;37.56826;126.97783;9775.377
Republic of Moldova;Chi?in?u;47.00556;28.8575;720.681
Reunion;Saint-Denis;-20.88231;55.4504;143.617
Romania;Bucuresti (Bucharest);44.432787;26.104302;1871.518
Russian Federation;Moskva (Moscow);55.754996;37.621849;12062.731
Rwanda;Kigali;-1.947364;30.057897;1222.571
Saint Helena;Jamestown;-15.93872;-5.71675;0.638
Saint Kitts and Nevis;Basseterre;17.29484;-62.7261;14.149
Saint Lucia;Castries;14.006021;-60.99096;22.186
Saint Pierre and Miquelon;Saint-Pierre;46.77375;-56.181465;5.459
Saint Vincent and the Grenadines;Kingstown;13.15872;-61.22475;27.314
Samoa;Apia;-13.83333;-171.76666;36.946
San Marino;San Marino;43.93333;12.45;4.197
Sao Tome and Principe;Sao Tome;0.33654;6.72732;71.294
Saudi Arabia;Ar-Riyadh (Riyadh);24.690466;46.709566;6195.198
Senegal;Dakar;14.6937;-17.44406;3392.848
Serbia;Beograd (Belgrade);44.817649;20.463309;1180.795
Seychelles;Victoria;-4.61667;55.45;26.062
Sierra Leone;Freetown;8.484;-13.22994;985.902
Singapore;Singapore;1.28967;103.85007;5517.102
Sint Maarten (Dutch part);Philipsburg;18.026;-63.04582;46.085
Slovakia;Bratislava;48.14816;17.10674;403.212
Slovenia;Ljubljana;46.05108;14.50513;278.903
Solomon Islands;Honiara;-9.43333;159.95;73.302
Somalia;Muqdisho (Mogadishu);2.041636;45.343492;2013.926
South Africa;Bloemfontein;-29.12106;26.214;495.998
South Africa;Cape Town;-33.92584;18.42322;3623.556
South Africa;Pretoria;-25.74486;28.18783;1990.69
South Sudan;Juba;4.85165;31.58247;306.569
Spain;Madrid;40.4165;-3.70256;6132.672
Sri Lanka;Colombo;6.93194;79.84778;704.227
Sri Lanka;Sri Jayewardenepura Kotte;6.90278;79.90833;127.534
State of Palestine;Ramallah;31.90256;35.19555;83.046
Sudan;Al-Khartum (Khartoum);15.55177;32.53241;4999.787
Suriname;Paramaribo;5.86638;-55.16682;234.483
Swaziland;Mbabane;-26.31667;31.13333;65.99
Sweden;Stockholm;59.33258;18.0649;1463.748
Switzerland;Bern;46.94809;7.44744;357.609
